parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.21 1.56536e-09 1.33e-09
-0.208 1.69431e-09 1.43956e-09
-0.206 1.83387e-09 1.55814e-09
-0.204 1.98492e-09 1.68648e-09
-0.202 2.1484e-09 1.82538e-09
-0.2 2.32533e-09 1.97571e-09
-0.198 2.51682e-09 2.13841e-09
-0.196 2.72405e-09 2.3145e-09
-0.194 2.94833e-09 2.50507e-09
-0.192 3.19105e-09 2.71131e-09
-0.19 3.45372e-09 2.93451e-09
-0.188 3.73798e-09 3.17605e-09
-0.186 4.0456e-09 3.43744e-09
-0.184 4.37849e-09 3.72031e-09
-0.182 4.73871e-09 4.02642e-09
-0.18 5.12851e-09 4.35766e-09
-0.178 5.55029e-09 4.71608e-09
-0.176 6.00668e-09 5.10392e-09
-0.174 6.50049e-09 5.52358e-09
-0.172 7.03478e-09 5.97764e-09
-0.17 7.61285e-09 6.46891e-09
-0.168 8.23825e-09 7.00043e-09
-0.166 8.91485e-09 7.57547e-09
-0.164 9.64678e-09 8.19756e-09
-0.162 1.04385e-08 8.87052e-09
-0.16 1.1295e-08 9.59848e-09
-0.158 1.22213e-08 1.03859e-08
-0.156 1.32232e-08 1.12376e-08
-0.154 1.43068e-08 1.21587e-08
-0.152 1.54786e-08 1.31548e-08
-0.15 1.67456e-08 1.4232e-08
-0.148 1.81156e-08 1.53968e-08
-0.146 1.95967e-08 1.66562e-08
-0.144 2.11979e-08 1.80177e-08
-0.142 2.29286e-08 1.94895e-08
-0.14 2.47992e-08 2.10803e-08
-0.138 2.68206e-08 2.27996e-08
-0.136 2.90048e-08 2.46574e-08
-0.134 3.13645e-08 2.66648e-08
-0.132 3.39135e-08 2.88333e-08
-0.13 3.66663e-08 3.11756e-08
-0.128 3.96388e-08 3.37051e-08
-0.126 4.28479e-08 3.64363e-08
-0.124 4.63117e-08 3.93847e-08
-0.122 5.00495e-08 4.25668e-08
-0.12 5.4082e-08 4.60004e-08
-0.118 5.84312e-08 4.97044e-08
