parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.214 1.32561e-09 1.13503e-09
-0.212 1.43542e-09 1.22797e-09
-0.21 1.55424e-09 1.32859e-09
-0.208 1.68282e-09 1.4375e-09
-0.206 1.82195e-09 1.5554e-09
-0.204 1.97251e-09 1.68302e-09
-0.202 2.13544e-09 1.82115e-09
-0.2 2.31175e-09 1.97067e-09
-0.198 2.50254e-09 2.13251e-09
-0.196 2.70899e-09 2.30767e-09
-0.194 2.93241e-09 2.49725e-09
-0.192 3.17417e-09 2.70243e-09
-0.19 3.43579e-09 2.92449e-09
-0.188 3.71889e-09 3.16482e-09
-0.186 4.02523e-09 3.4249e-09
-0.184 4.35671e-09 3.70636e-09
-0.182 4.71539e-09 4.01095e-09
-0.18 5.1035e-09 4.34056e-09
-0.178 5.52345e-09 4.69722e-09
-0.176 5.97782e-09 5.08316e-09
-0.174 6.46944e-09 5.50076e-09
-0.172 7.00133e-09 5.95261e-09
-0.17 7.57678e-09 6.44149e-09
-0.168 8.19934e-09 6.97041e-09
-0.166 8.87283e-09 7.54265e-09
-0.164 9.60139e-09 8.16171e-09
-0.162 1.03895e-08 8.83139e-09
-0.16 1.12419e-08 9.55581e-09
-0.158 1.21612e-08 1.03366e-08
-0.156 1.31584e-08 1.11841e-08
-0.154 1.42368e-08 1.21007e-08
-0.152 1.5403e-08 1.3092e-08
-0.15 1.6664e-08 1.41639e-08
-0.148 1.80275e-08 1.5323e-08
-0.146 1.95015e-08 1.65762e-08
-0.144 2.1095e-08 1.7931e-08
-0.142 2.28173e-08 1.93955e-08
-0.14 2.468e-08 2.09785e-08
-0.138 2.66915e-08 2.26892e-08
-0.136 2.88649e-08 2.45379e-08
-0.134 3.1213e-08 2.65352e-08
-0.132 3.37493e-08 2.8693e-08
-0.13 3.64885e-08 3.10236e-08
-0.128 3.94462e-08 3.35405e-08
-0.126 4.26393e-08 3.6258e-08
-0.124 4.60859e-08 3.91916e-08
-0.122 4.9805e-08 4.23577e-08
-0.12 5.38173e-08 4.5774e-08
-0.118 5.81447e-08 4.94593e-08
-0.116 6.28105e-08 5.34337e-08
-0.114 6.78398e-08 5.77185e-08
-0.112 7.32589e-08 6.23366e-08
-0.11 7.90959e-08 6.7312e-08
-0.108 8.53805e-08 7.26706e-08
-0.106 9.21441e-08 7.84393e-08
-0.104 9.942e-08 8.4647e-08
-0.102 1.07243e-07 9.13239e-08
-0.1 1.15649e-07 9.85018e-08
-0.098 1.24678e-07 1.06214e-07
-0.096 1.34369e-07 1.14496e-07
-0.094 1.44762e-07 1.23383e-07
-0.092 1.55649e-07 1.32914e-07
-0.09 1.67957e-07 1.43859e-07
-0.088 1.80388e-07 1.54575e-07
-0.086 1.94443e-07 1.66983e-07
-0.084 2.08953e-07 1.79143e-07
-0.082 2.24466e-07 1.92274e-07
-0.08 2.41017e-07 2.06372e-07
-0.078 2.58645e-07 2.2145e-07
-0.076 2.77393e-07 2.37535e-07
-0.074 2.973e-07 2.54658e-07
-0.072 3.18404e-07 2.7285e-07
-0.07 3.4074e-07 2.92144e-07
-0.068 3.6434e-07 3.12573e-07
-0.066 3.89229e-07 3.34163e-07
